rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
0;-456;-1128;188;353;375;0.000000;-0.056218;-0.139067;0.051436;0.096580;0.102599;11.931595;548.249943
-44;-152;-1164;191;329;387;-0.005618;-0.019409;-0.148633;0.052794;0.090939;0.106971;11.519938;542.670250
-208;-112;-1048;208;248;407;-0.029042;-0.015638;-0.146328;0.059998;0.071536;0.117400;10.535247;520.016346
-188;184;-972;201;157;433;-0.028005;0.027409;-0.144791;0.059996;0.046863;0.129245;9.874981;502.532586
-108;368;-988;178;59;444;-0.015286;0.052084;-0.139834;0.055397;0.018362;0.138181;10.393347;481.976140
-72;740;-776;167;-55;423;-0.010049;0.103286;-0.108310;0.054684;-0.018010;0.138511;10.539115;458.086236
-68;824;-612;159;-180;353;-0.009916;0.120156;-0.089242;0.055861;-0.063239;0.124018;10.087722;426.954330
-16;1032;-336;149;-271;267;-0.002211;0.142615;-0.046433;0.054703;-0.099493;0.098024;10.644513;408.571903
12;1104;-168;130;-332;168;0.001612;0.148284;-0.022565;0.049475;-0.126350;0.063936;10.951812;394.142106
56;1068;92;124;-346;87;0.007825;0.149243;0.012856;0.049245;-0.137409;0.034551;10.526625;377.704911
72;1068;300;91;-363;23;0.009715;0.144108;0.040480;0.036406;-0.145224;0.009202;10.901750;374.938662
160;736;568;44;-351;-79;0.025441;0.117029;0.090316;0.018209;-0.145257;-0.032693;9.251160;362.461032
168;840;552;60;-333;-115;0.024728;0.123641;0.081250;0.025184;-0.139771;-0.048269;9.993780;357.370956
148;704;664;73;-301;-172;0.022676;0.107867;0.101738;0.030908;-0.127442;-0.072824;9.600586;354.279551
212;612;904;63;-256;-234;0.028595;0.082549;0.121935;0.026808;-0.108934;-0.099573;10.905701;352.506738
308;356;632;36;-198;-293;0.058626;0.067762;0.120297;0.015192;-0.083555;-0.123644;7.728138;355.456045
212;252;876;67;-90;-346;0.033980;0.040391;0.140406;0.027630;-0.037115;-0.142685;9.177600;363.737543
196;116;944;88;-34;-358;0.030275;0.017918;0.145816;0.035654;-0.013776;-0.145048;9.523102;370.221555
60;-32;980;127;39;-367;0.009162;-0.004886;0.149640;0.048808;0.014988;-0.141043;9.633625;390.306290
-52;-52;976;201;76;-339;-0.007969;-0.007969;0.149576;0.075118;0.028403;-0.126691;9.598422;401.370153
